日付	名称	曜日
1967-10-10	体育の日	火
1967-11-03	文化の日	金
1967-11-23	勤労感謝の日	木
1968-01-01	元日	月
1968-01-15	成人の日	月
1968-02-11	建国記念の日	日
1968-03-20	春分の日	水
1968-04-29	天皇誕生日	月
1968-05-03	憲法記念日	金
1968-05-05	こどもの日	日
1968-09-15	敬老の日	日
1968-09-23	秋分の日	月
1968-10-10	体育の日	木
1968-11-03	文化の日	日
1968-11-23	勤労感謝の日	土
1969-01-01	元日	水
1969-01-15	成人の日	水
1969-02-11	建国記念の日	火
1969-03-21	春分の日	金
1969-04-29	天皇誕生日	火
1969-05-03	憲法記念日	土
1969-05-05	こどもの日	月
1969-09-15	敬老の日	月
1969-09-23	秋分の日	火
1969-10-10	体育の日	金
1969-11-03	文化の日	月
1969-11-23	勤労感謝の日	日
1970-01-01	元日	木
1970-01-15	成人の日	木
1970-02-11	建国記念の日	水
1970-03-21	春分の日	土
1970-04-29	天皇誕生日	水
1970-05-03	憲法記念日	日
1970-05-05	こどもの日	火
1970-09-15	敬老の日	火
1970-09-23	秋分の日	水
1970-10-10	体育の日	土
1970-11-03	文化の日	火
1970-11-23	勤労感謝の日	月
1971-01-01	元日	金
1971-01-15	成人の日	金
1971-02-11	建国記念の日	木
1971-03-21	春分の日	日
1971-04-29	天皇誕生日	木
1971-05-03	憲法記念日	月
1971-05-05	こどもの日	水
1971-09-15	敬老の日	水
1971-09-24	秋分の日	金
1971-10-10	体育の日	日
1971-11-03	文化の日	水
1971-11-23	勤労感謝の日	火
1972-01-01	元日	土
1972-01-15	成人の日	土
1972-02-11	建国記念の日	金
1972-03-20	春分の日	月
1972-04-29	天皇誕生日	土
1972-05-03	憲法記念日	水
1972-05-05	こどもの日	金
1972-09-15	敬老の日	金
1972-09-23	秋分の日	土
1972-10-10	体育の日	火
1972-11-03	文化の日	金
1972-11-23	勤労感謝の日	木
1973-01-01	元日	月
1973-01-15	成人の日	月
1973-02-11	建国記念の日	日
1973-03-21	春分の日	水
1973-04-29	天皇誕生日	日
1973-04-30	休日	月
1973-05-03	憲法記念日	木
1973-05-05	こどもの日	土
1973-09-15	敬老の日	土
1973-09-23	秋分の日	日
1973-09-24	休日	月
1973-10-10	体育の日	水
1973-11-03	文化の日	土
1973-11-23	勤労感謝の日	金
1974-01-01	元日	火
1974-01-15	成人の日	火
1974-02-11	建国記念の日	月
1974-03-21	春分の日	木
1974-04-29	天皇誕生日	月
1974-05-03	憲法記念日	金
1974-05-05	こどもの日	日
1974-05-06	休日	月
1974-09-15	敬老の日	日
1974-09-16	休日	月
1974-09-23	秋分の日	月
1974-10-10	体育の日	木
1974-11-03	文化の日	日
1974-11-04	休日	月
1974-11-23	勤労感謝の日	土
1975-01-01	元日	水
1975-01-15	成人の日	水
1975-02-11	建国記念の日	火
1975-03-21	春分の日	金
1975-04-29	天皇誕生日	火
1975-05-03	憲法記念日	土
1975-05-05	こどもの日	月
1975-09-15	敬老の日	月
1975-09-24	秋分の日	水
1975-10-10	体育の日	金
1975-11-03	文化の日	月
1975-11-23	勤労感謝の日	日
1975-11-24	休日	月
1976-01-01	元日	木
1976-01-15	成人の日	木
1976-02-11	建国記念の日	水
1976-03-20	春分の日	土
1976-04-29	天皇誕生日	木
1976-05-03	憲法記念日	月
1976-05-05	こどもの日	水
1976-09-15	敬老の日	水
1976-09-23	秋分の日	木
1976-10-10	体育の日	日
1976-10-11	休日	月
1976-11-03	文化の日	水
1976-11-23	勤労感謝の日	火
1977-01-01	元日	土
1977-01-15	成人の日	土
1977-02-11	建国記念の日	金
1977-03-21	春分の日	月
1977-04-29	天皇誕生日	金
1977-05-03	憲法記念日	火
1977-05-05	こどもの日	木
1977-09-15	敬老の日	木
1977-09-23	秋分の日	金
1977-10-10	体育の日	月
1977-11-03	文化の日	木
1977-11-23	勤労感謝の日	水
1978-01-01	元日	日
1978-01-02	休日	月
